step	time	u	v	T
1	1.00000e-01	3.71334e-02	3.80520e-03	2.80339e+02
2	2.00000e-01	3.77993e-02	3.36223e-03	2.81297e+02
3	3.00000e-01	3.51990e-02	4.26203e-04	2.78902e+02
4	4.00000e-01	3.51472e-02	-4.45688e-05	2.77301e+02
5	5.00000e-01	3.73945e-02	2.94746e-03	2.81347e+02
6	6.00000e-01	3.42987e-02	1.58770e-03	2.78462e+02
7	7.00000e-01	3.42440e-02	1.17499e-03	2.78612e+02
8	8.00000e-01	3.69432e-02	2.75717e-03	2.80747e+02
9	9.00000e-01	3.64699e-02	3.14202e-03	2.79852e+02
10	1.00000e+00	3.38378e-02	2.64864e-03	2.79963e+02
11	1.10000e+00	3.44528e-02	2.50743e-03	2.80850e+02
12	1.20000e+00	3.64925e-02	3.01878e-03	2.79886e+02
13	1.30000e+00	3.63654e-02	3.39314e-03	2.79084e+02
14	1.40000e+00	3.58945e-02	3.74466e-03	2.78790e+02
15	1.50000e+00	3.53406e-02	3.99067e-03	2.79135e+02
16	1.60000e+00	3.49411e-02	4.07783e-03	2.79884e+02
17	1.70000e+00	3.48091e-02	4.00502e-03	2.80604e+02
18	1.80000e+00	3.49098e-02	3.83085e-03	2.80918e+02
19	1.90000e+00	3.51123e-02	3.65800e-03	2.80719e+02
20	2.00000e+00	3.52762e-02	3.59538e-03	2.80204e+02
21	2.10000e+00	3.53213e-02	3.71170e-03	2.79728e+02
22	2.20000e+00	3.52480e-02	4.00203e-03	2.79585e+02
23	2.30000e+00	3.51153e-02	4.38521e-03	2.79843e+02
24	2.40000e+00	3.49964e-02	4.73629e-03	2.80325e+02
25	2.50000e+00	3.49412e-02	4.94105e-03	2.80735e+02
26	2.60000e+00	3.49601e-02	4.94834e-03	2.80858e+02
27	2.70000e+00	3.50323e-02	4.79414e-03	2.80691e+02
28	2.80000e+00	3.51255e-02	4.58441e-03	2.80419e+02
29	2.90000e+00	3.52100e-02	4.44526e-03	2.80289e+02
30	3.00000e+00	3.52614e-02	4.46535e-03	2.80459e+02
31	3.10000e+00	3.52582e-02	4.65698e-03	2.80905e+02
32	3.20000e+00	3.48165e-02	5.40200e-03	2.81844e+02
33	3.30000e+00	3.45879e-02	5.39803e-03	2.81587e+02
34	3.40000e+00	3.44064e-02	5.25166e-03	2.81231e+02
35	3.50000e+00	3.45002e-02	4.85473e-03	2.81599e+02
36	3.60000e+00	3.46476e-02	4.94406e-03	2.82217e+02
37	3.70000e+00	3.47235e-02	5.11084e-03	2.82770e+02
38	3.80000e+00	3.41804e-02	5.28779e-03	2.82749e+02
39	3.90000e+00	3.38857e-02	5.12705e-03	2.82458e+02
40	4.00000e+00	3.36585e-02	4.91904e-03	2.82348e+02
41	4.10000e+00	3.33800e-02	4.61266e-03	2.83540e+02
42	4.20000e+00	3.32125e-02	4.65483e-03	2.84060e+02
43	4.30000e+00	3.16813e-02	4.43061e-03	2.84170e+02
44	4.40000e+00	3.14424e-02	4.20920e-03	2.84061e+02
45	4.50000e+00	3.14367e-02	3.64241e-03	2.85126e+02
46	4.60000e+00	3.12535e-02	3.61785e-03	2.85498e+02
47	4.70000e+00	3.08990e-02	3.58242e-03	2.85766e+02
48	4.80000e+00	2.94501e-02	3.15526e-03	2.85902e+02
49	4.90000e+00	2.91087e-02	2.92825e-03	2.85851e+02
50	5.00000e+00	2.88962e-02	2.71389e-03	2.85830e+02
51	5.10000e+00	2.86986e-02	2.44441e-03	2.85982e+02
52	5.20000e+00	2.85954e-02	2.40067e-03	2.86160e+02
53	5.30000e+00	2.84332e-02	2.38857e-03	2.86376e+02
54	5.40000e+00	2.82068e-02	2.37064e-03	2.86585e+02
55	5.50000e+00	2.79382e-02	2.31373e-03	2.86741e+02
56	5.60000e+00	2.76606e-02	2.20254e-03	2.86808e+02
57	5.70000e+00	2.74025e-02	2.04634e-03	2.86778e+02
58	5.80000e+00	2.71751e-02	1.87569e-03	2.86675e+02
59	5.90000e+00	2.69712e-02	1.73038e-03	2.86547e+02
60	6.00000e+00	2.67715e-02	1.64341e-03	2.86452e+02
61	6.10000e+00	2.65560e-02	1.62761e-03	2.86429e+02
62	6.20000e+00	2.63157e-02	1.67051e-03	2.86489e+02
63	6.30000e+00	2.60571e-02	1.73953e-03	2.86598e+02
64	6.40000e+00	2.58013e-02	1.79576e-03	2.86698e+02
65	6.50000e+00	2.55760e-02	1.81038e-03	2.86726e+02
66	6.60000e+00	2.54055e-02	1.77694e-03	2.86650e+02
67	6.70000e+00	2.53021e-02	1.71371e-03	2.86480e+02
68	6.80000e+00	2.52627e-02	1.65534e-03	2.86264e+02
69	6.90000e+00	2.52709e-02	1.63744e-03	2.86067e+02
70	7.00000e+00	2.53034e-02	1.68121e-03	2.85937e+02
71	7.10000e+00	2.53386e-02	1.78462e-03	2.85884e+02
72	7.20000e+00	2.53625e-02	1.92394e-03	2.85876e+02
73	7.30000e+00	2.53717e-02	2.06453e-03	2.85852e+02
74	7.40000e+00	2.53710e-02	2.17628e-03	2.85755e+02
75	7.50000e+00	2.53690e-02	2.24658e-03	2.85565e+02
76	7.60000e+00	2.53731e-02	2.28496e-03	2.85306e+02
77	7.70000e+00	2.53865e-02	2.31737e-03	2.85039e+02
78	7.80000e+00	2.54085e-02	2.37334e-03	2.84829e+02
79	7.90000e+00	2.54378e-02	2.47205e-03	2.84707e+02
80	8.00000e+00	2.54767e-02	2.61390e-03	2.84658e+02
81	8.10000e+00	2.55335e-02	2.78104e-03	2.84622e+02
82	8.20000e+00	2.56216e-02	2.94622e-03	2.84530e+02
83	8.30000e+00	2.57549e-02	3.08567e-03	2.84334e+02
84	8.40000e+00	2.59406e-02	3.18968e-03	2.84041e+02
85	8.50000e+00	2.61726e-02	3.26613e-03	2.83710e+02
86	8.60000e+00	2.64303e-02	3.33547e-03	2.83427e+02
87	8.70000e+00	2.66818e-02	3.42021e-03	2.83265e+02
88	8.80000e+00	2.70433e-02	3.67503e-03	2.83347e+02
89	8.90000e+00	2.71239e-02	3.82787e-03	2.83479e+02
90	9.00000e+00	2.71515e-02	3.97002e-03	2.83558e+02
91	9.10000e+00	2.72594e-02	4.20609e-03	2.83161e+02
92	9.20000e+00	2.73996e-02	4.24236e-03	2.82960e+02
93	9.30000e+00	2.75992e-02	4.28747e-03	2.82851e+02
94	9.40000e+00	2.78366e-02	4.35426e-03	2.82876e+02
95	9.50000e+00	2.83141e-02	4.54135e-03	2.83261e+02
96	9.60000e+00	2.85141e-02	4.62982e-03	2.83501e+02
97	9.70000e+00	2.86805e-02	4.68983e-03	2.83683e+02
98	9.80000e+00	2.88189e-02	4.71147e-03	2.83775e+02
99	9.90000e+00	2.89378e-02	4.69742e-03	2.83784e+02
100	1.00000e+01	2.90424e-02	4.66153e-03	2.83754e+02
101	1.01000e+01	2.91327e-02	4.62276e-03	2.83744e+02
102	1.02000e+01	2.92042e-02	4.59714e-03	2.83806e+02
103	1.03000e+01	2.92520e-02	4.59108e-03	2.83963e+02
104	1.04000e+01	2.92748e-02	4.59878e-03	2.84204e+02
105	1.05000e+01	2.92772e-02	4.60470e-03	2.84484e+02
106	1.06000e+01	2.92687e-02	4.59009e-03	2.84752e+02
107	1.07000e+01	2.92599e-02	4.54084e-03	2.84964e+02
108	1.08000e+01	2.92580e-02	4.45338e-03	2.85105e+02
109	1.09000e+01	2.92638e-02	4.33601e-03	2.85193e+02
110	1.10000e+01	2.92709e-02	4.20531e-03	2.85268e+02
111	1.11000e+01	2.92684e-02	4.07903e-03	2.85378e+02
112	1.12000e+01	2.92448e-02	3.96864e-03	2.85554e+02
113	1.13000e+01	2.91922e-02	3.87483e-03	2.85800e+02
114	1.14000e+01	2.91077e-02	3.78754e-03	2.86091e+02
115	1.15000e+01	2.89937e-02	3.69072e-03	2.86386e+02
116	1.16000e+01	2.88545e-02	3.56954e-03	2.86647e+02
117	1.17000e+01	2.86937e-02	3.41694e-03	2.86851e+02
118	1.18000e+01	2.85126e-02	3.23670e-03	2.87008e+02
119	1.19000e+01	2.83099e-02	3.04170e-03	2.87144e+02
120	1.20000e+01	2.80853e-02	2.84832e-03	2.87296e+02
121	1.21000e+01	2.78424e-02	2.66951e-03	2.87491e+02
122	1.22000e+01	2.75918e-02	2.50966e-03	2.87730e+02
123	1.23000e+01	2.73499e-02	2.36339e-03	2.87993e+02
124	1.24000e+01	2.71353e-02	2.21865e-03	2.88244e+02
125	1.25000e+01	2.69619e-02	2.06274e-03	2.88446e+02
126	1.26000e+01	2.68319e-02	1.88834e-03	2.88585e+02
127	1.27000e+01	2.67326e-02	1.69712e-03	2.88672e+02
128	1.28000e+01	2.66377e-02	1.49912e-03	2.88741e+02
129	1.29000e+01	2.65141e-02	1.30846e-03	2.88833e+02
130	1.30000e+01	2.63330e-02	1.13742e-03	2.88980e+02
131	1.31000e+01	2.60794e-02	9.91338e-04	2.89185e+02
132	1.32000e+01	2.57587e-02	8.66833e-04	2.89424e+02
133	1.33000e+01	2.53965e-02	7.53907e-04	2.89648e+02
134	1.34000e+01	2.50308e-02	6.41038e-04	2.89808e+02
135	1.35000e+01	2.47004e-02	5.20953e-04	2.89868e+02
136	1.36000e+01	2.44322e-02	3.94425e-04	2.89826e+02
